#Format version: 1.0
time[us],accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps],magnX[mG],magnY[mG],magnZ[mG],press[hPa],temp[°C],hum[%RH],newData,interrupts,fsm1,fsm2,fsm3,fsm4,fsm5,fsm6,fsm7,fsm8,fsm9,fsm10,fsm11,fsm12,fsm13,fsm14,fsm15,fsm16,src0,src1,src2,src3,src4,src5,src6,src7,
301121531,-23,3,1009,-315,-752,-105,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
301162344,-23,3,1008,-315,-752,-87,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
301202751,-23,3,1009,-297,-752,-105,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
301243564,-24,2,1009,-297,-752,-105,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
301283973,-23,3,1008,-280,-752,-122,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
301324739,-23,3,1008,-297,-770,-105,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
301365194,-23,3,1009,-297,-752,-122,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
301405993,-23,3,1008,-297,-752,-122,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
301446449,-23,3,1009,-297,-752,-122,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
301487215,-23,3,1009,-297,-735,-105,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
301527984,-23,4,1008,-315,-770,-87,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
301568441,-23,3,1008,-297,-770,-105,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
301609208,-23,4,1009,-297,-735,-157,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
301649663,-22,3,1008,-315,-735,-122,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
301690430,-23,2,1008,-297,-717,-122,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
301730837,-24,2,1009,-297,-735,-122,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
