#Format version: 1.0
time[us],accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps],magnX[mG],magnY[mG],magnZ[mG],press[hPa],temp[°C],hum[%RH],newData,interrupts,fsm1,fsm2,fsm3,fsm4,fsm5,fsm6,fsm7,fsm8,fsm9,fsm10,fsm11,fsm12,fsm13,fsm14,fsm15,fsm16,src0,src1,src2,src3,src4,src5,src6,src7,
214183483,5,0,1007,-315,-700,-105,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
214224244,4,2,1012,-315,-717,-175,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
214264732,1,4,1000,-297,-595,-157,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
214305495,0,2,1014,-262,-402,17,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
214346359,2,-1,1008,-280,-962,-70,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
214386728,8,0,1001,-297,-787,-175,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
214427492,10,0,1009,-315,0,-140,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
214467945,0,0,1011,-315,-315,-105,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
214508708,-5,0,1007,-315,-490,-52,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
214549114,-3,3,1015,-315,-507,-157,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
214589928,-28,8,1339,1820,-6842,-87,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
214630331,27,8,889,3307,-53707,-192,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
214671176,92,-9,771,1417,-30975,-210,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
214711580,27,6,1309,2082,-13825,-665,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
