#Format version: 1.0
time[us],accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps],magnX[mG],magnY[mG],magnZ[mG],press[hPa],temp[°C],hum[%RH],newData,interrupts,fsm1,fsm2,fsm3,fsm4,fsm5,fsm6,fsm7,fsm8,fsm9,fsm10,fsm11,fsm12,fsm13,fsm14,fsm15,fsm16,src0,src1,src2,src3,src4,src5,src6,src7,
174576920,955,3,-282,-297,-752,-87,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
174617323,955,4,-283,-280,-770,-87,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
174658086,956,4,-281,-262,-700,-105,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
174698542,955,3,-278,-245,-700,-87,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
174739309,954,3,-284,-332,-980,-70,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
174779761,954,4,-287,-332,-752,-52,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
174820525,955,4,-280,-280,-560,-52,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
174861389,956,5,-281,-297,-805,-70,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
174901757,955,5,-279,-297,-665,-70,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
174942520,955,4,-281,-280,-892,-105,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
174982972,955,3,-287,-262,-910,-105,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
175023734,954,3,-282,-280,-577,-70,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
175064138,955,4,-281,-315,-717,-70,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
175104922,956,5,-282,-297,-752,-87,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
175145327,955,5,-279,-315,-700,-87,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
175186137,955,4,-283,-332,-875,-105,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
175227001,955,3,-285,-280,-805,-70,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
175267321,954,3,-282,-280,-647,-70,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
175308097,955,4,-282,-297,-735,-70,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
175348502,955,4,-281,-297,-735,-87,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
175389316,956,4,-280,-280,-787,-105,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
175429720,955,3,-284,-280,-857,-87,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
175470498,955,4,-285,-280,-787,-87,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
175511361,955,4,-283,-297,-682,-70,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
175551681,956,4,-280,-297,-682,-87,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
175592592,955,4,-280,-297,-787,-70,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
175632912,955,4,-282,-297,-857,-70,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
175673691,954,4,-283,-297,-805,-87,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
175714095,955,4,-284,-297,-752,-52,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
175754863,956,4,-283,-315,-682,-70,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
175795316,955,4,-279,-297,-647,-87,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
175836078,955,4,-281,-297,-840,-87,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
175876957,955,4,-283,-280,-805,-87,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
175917278,955,4,-283,-280,-752,-52,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
175958042,955,4,-283,-280,-752,-70,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
175998495,955,4,-281,-280,-682,-87,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
176039264,955,4,-280,-315,-700,-70,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
176079715,955,3,-282,-297,-787,-87,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
176120477,955,3,-283,-280,-805,-105,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
176160880,955,4,-284,-297,-752,-122,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
176201691,956,4,-282,-297,-682,-87,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
176242555,955,5,-282,-297,-735,-87,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
176282922,956,4,-282,-280,-752,-70,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
176323685,955,3,-280,-262,-717,-87,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
176364089,955,4,-284,-280,-857,-87,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
176404903,954,3,-284,-297,-717,-70,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
176445306,955,3,-280,-280,-682,-52,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
176486115,955,4,-283,-315,-805,-87,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
176526519,955,4,-281,-297,-682,-70,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
176567282,955,4,-281,-315,-770,-87,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
176607734,955,4,-284,-297,-875,-87,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
176648498,955,4,-283,-297,-700,-87,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
176689414,955,4,-281,-297,-717,-87,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
176729735,955,4,-282,-297,-787,-70,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
176770497,955,4,-282,-297,-735,-70,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
176810951,955,4,-281,-315,-735,-87,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
176851713,955,4,-283,-297,-822,-105,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
176892166,955,4,-283,-297,-717,-87,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
176932928,955,4,-280,-297,-647,-87,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
176973330,956,4,-283,-315,-840,-87,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
177014144,955,3,-283,-297,-735,-70,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
177055013,955,4,-280,-297,-682,-52,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
177095379,955,4,-284,-315,-717,-70,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
177136243,955,4,-283,-315,-525,-122,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
177176561,955,4,-279,-280,-700,-105,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
177217375,956,4,-282,-280,-875,-105,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
177257779,955,4,-282,-280,-717,-70,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
177298591,955,4,-280,-297,-717,-87,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
177338998,955,4,-284,-297,-857,-87,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
177379764,955,3,-283,-297,-735,-52,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
177420219,955,4,-280,-297,-717,-52,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
177460982,955,4,-282,-280,-840,-52,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
177501434,955,4,-282,-280,-752,-70,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
177542197,955,4,-280,-297,-717,-70,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
177582962,955,4,-283,-297,-840,-70,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
177623414,955,4,-283,-297,-735,-70,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
177664178,955,4,-280,-297,-665,-87,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
177704635,955,4,-282,-297,-875,-52,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
177745398,955,4,-283,-315,-735,-87,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
177785802,955,4,-280,-297,-665,-87,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
177826611,955,4,-283,-297,-840,-70,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
177867017,956,4,-282,-297,-700,-87,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
177907828,955,4,-280,-315,-700,-70,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
177948694,956,3,-283,-297,-840,-87,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
177989012,955,4,-283,-297,-770,-87,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
178029828,955,4,-281,-315,-735,-70,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
178070233,955,4,-283,-297,-840,-70,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
178111044,955,4,-282,-297,-717,-87,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
178151450,955,4,-280,-280,-700,-87,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
178192214,955,4,-282,-280,-822,-87,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
178232665,955,3,-283,-297,-752,-87,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
178273428,955,4,-282,-297,-735,-52,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
178313879,955,4,-282,-297,-752,-70,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
178354646,955,4,-282,-297,-735,-52,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
178395409,955,4,-281,-297,-752,-87,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
178435863,955,4,-282,-297,-805,-87,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
178476627,955,4,-282,-297,-752,-105,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
178517080,955,4,-282,-297,-770,-70,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
178557841,955,4,-282,-280,-735,-70,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
178598247,955,4,-281,-280,-735,-70,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
178639059,955,4,-282,-297,-787,-70,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
178679467,955,4,-282,-262,-770,-70,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
178720278,955,3,-282,-280,-805,-70,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
178761141,955,4,-282,-315,-717,-70,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
178801459,955,4,-281,-297,-700,-52,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
178842239,955,4,-282,-297,-770,-87,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
178882640,956,4,-281,-297,-752,-70,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
178923452,955,4,-282,-297,-770,-87,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
178963855,955,4,-283,-297,-805,-87,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
179004623,955,4,-282,-297,-717,-105,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
179045502,956,4,-281,-297,-770,-87,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
179085819,955,4,-283,-315,-787,-70,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
179126632,955,4,-281,-280,-735,-52,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
179167039,955,4,-282,-280,-787,-87,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
179207818,955,4,-281,-280,-735,-70,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
179248224,955,4,-282,-280,-752,-70,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
179288986,955,4,-282,-280,-770,-87,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
179329444,955,4,-282,-280,-752,-87,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
179370206,955,4,-282,-297,-752,-70,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
179410984,955,4,-283,-297,-787,-87,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
179451392,955,4,-282,-297,-735,-87,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
179492154,955,4,-281,-280,-752,-70,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
179532609,955,4,-282,-297,-787,-70,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
179573372,955,4,-282,-280,-752,-70,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
179613792,955,4,-282,-280,-770,-87,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
179654592,955,3,-282,-297,-752,-87,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
179695456,955,4,-282,-297,-717,-70,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
179735819,955,4,-281,-280,-735,-87,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
179776584,955,4,-282,-280,-805,-70,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
179817036,955,4,-282,-297,-717,-70,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
179857799,955,4,-282,-297,-770,-87,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
179898206,956,3,-282,-280,-752,-87,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
179939018,956,4,-280,-280,-700,-70,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
179979427,955,4,-282,-297,-822,-87,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
180020240,955,4,-283,-280,-770,-70,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
180060644,955,4,-282,-280,-717,-70,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
180101407,955,4,-282,-297,-752,-87,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
180142318,955,4,-282,-280,-735,-87,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
180182636,955,4,-281,-280,-735,-87,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
180223547,955,4,-282,-297,-787,-105,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
180263900,955,4,-282,-315,-770,-87,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
180304667,955,4,-283,-280,-752,-87,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
180345121,955,4,-283,-280,-752,-87,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
180385884,955,4,-281,-297,-717,-70,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
180426339,955,4,-281,-297,-735,-87,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
180467101,956,4,-282,-297,-770,-87,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
180507504,956,4,-283,-280,-822,-52,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
180548314,955,4,-282,-280,-770,-87,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
