@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Z numeric
@attribute F3_MEAN_on_GY_Y numeric
@attribute F4_ENERGY_on_GY_Y numeric
@attribute F5_PeakToPeak_on_ACC_X numeric
@attribute F6_PeakToPeak_on_ACC_Z numeric
@attribute F7_PeakToPeak_on_GY_Y numeric
@attribute F8_MIN_on_ACC_X numeric
@attribute F9_MIN_on_ACC_Y numeric
@attribute F10_MIN_on_GY_Y numeric
@attribute F11_MAX_on_ACC_X numeric
@attribute F12_MAX_on_ACC_Z numeric
@attribute F13_MAX_on_GY_Y numeric
@attribute class {opened, movement, closed}

@data
0.959473, -0.282227, -0.0131683, 0.00872803, 0.00195313, 0.0090332, 0.00731659, 0.953613, 0.00299835, -0.0170898, 0.955566, -0.277832, -0.00977325, opened
0.959473, -0.281738, -0.0131378, 0.00866699, 0.000976563, 0.00512695, 0.00610352, 0.95459, 0.00299835, -0.0152664, 0.955566, -0.278809, -0.0091629, opened
0.959473, -0.281738, -0.0132523, 0.00874329, 0.000976563, 0.00317383, 0.0021286, 0.95459, 0.00299835, -0.0143433, 0.955566, -0.279785, -0.0122147, opened
0.558594, 0.366943, -0.564941, 162.25, 1.03809, 1.84082, 6.57422, -0.0279999, -0.00999451, -3.72461, 1.00977, 1.38965, 2.84961, movement
0.575684, 0.425049, -0.19751, 186.5, 1.05859, 1.86816, 5.875, -0.0749512, -0.0059967, -3.06445, 0.98291, 1.31836, 2.80859, movement
0.583496, 0.4646, -0.181152, 182.875, 1.02051, 1.97656, 5.25391, -0.0509949, -0.00499725, -2.8457, 0.969727, 1.3916, 2.40625, movement
-0.0231476, 1.00879, -0.0131454, 0.00857544, 0.0019989, 0.00195313, 0.000923157, -0.0239868, 0.0019989, -0.0134354, -0.0219879, 1.00977, -0.0125122, closed
-0.0231018, 1.00879, -0.013176, 0.00862122, 0.0039978, 0.000976563, 0.000610352, -0.0249939, 0.000999451, -0.0134354, -0.0209961, 1.00879, -0.012825, closed
-0.022934, 1.00879, -0.0132065, 0.0086441, 0.0019989, 0.000976563, 0.000923157, -0.0239868, 0.0019989, -0.0134354, -0.0219879, 1.00879, -0.0125122, closed
-0.0231628, 1.00879, -0.013298, 0.00876617, 0.0019989, 0.000976563, 0.000907898, -0.0239868, 0.0019989, -0.0137329, -0.0219879, 1.00879, -0.012825, closed
